PubChem_CID,Compound Name,Severity Class,DILIConcern,vDILIConcern,Greene_Annotation,Sakatis_Annotation,Xu_Annotation,Zhu_Annotation,SMILES,NCTR,vNCTR,Greene,Sakatis,Xu,Zhu,cluster
255968,benzarone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC=C(C=C3)O,2,2,-1,-1,-1,-1,13
2333,benzbromarone,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,2,2,2,1,1,1,13
6237,benziodarone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)O)I,2,2,-1,-1,-1,-1,13
60726,bromfenac,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1=CC(=C(C(=C1)CC(=O)O)N)C(=O)C2=CC=C(C=C2)Br,2,2,2,1,1,1,14
8593,cinchophen,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,.,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)O,2,2,2,-1,1,-1,15
21382,clomacran,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CN(C)CCCC1C2=CC=CC=C2NC3=C1C=C(C=C3)Cl,2,2,-1,-1,-1,-1,16
33176,clometacin,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CC1=C(C2=C(N1CC(=O)O)C=C(C=C2)OC)C(=O)C3=CC=C(C=C3)Cl,2,2,-1,-1,-1,-1,17
2898,cyclofenil,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CC(=O)OC1=CC=C(C=C1)C(=C2CCCCC2)C3=CC=C(C=C3)OC(=O)C,2,2,-1,-1,-1,-1,18
40399,exifone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,C1=CC(=C(C(=C1C(=O)C2=CC(=C(C(=C2)O)O)O)O)O)O,2,2,-1,-1,-1,-1,19
28858,fenclozic acid,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,C1=CC(=CC=C1C2=NC(=CS2)CC(=O)O)Cl,2,2,-1,-1,-1,-1,20
3351,fipexide,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,.,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C(=O)COC4=CC=C(C=C4)Cl,2,2,2,-1,1,-1,21
3474,glafenine,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,.,C1=CC=C(C(=C1)C(=O)OCC(CO)O)NC2=C3C=CC(=CC3=NC=C2)Cl,2,2,2,1,1,-1,22
15250,ibufenac,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,.,CC(C)CC1=CC=C(C=C1)CC(=O)O,2,2,2,-1,1,-1,19
3748,iproniazid,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CC(C)NNC(=O)C1=CC=NC=C1,2,2,2,1,1,1,19
71169,isaxonine,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CC(C)NC1=NC=CC=N1,2,2,-1,-1,-1,-1,19
151166,lumiracoxib,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,Positive,Postive,CC1=CC(=C(C=C1)NC2=C(C=CC=C2Cl)F)CC(=O)O,2,2,-1,-1,1,1,23
6179,mebanazine,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CC(C1=CC=CC=C1)NN,2,2,-1,-1,-1,-1,19
6075,mepazine,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CN1CCCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42,2,2,-1,-1,-1,-1,24
4260,moxisylyte,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CC1=CC(=C(C=C1OC(=O)C)C(C)C)OCCN(C)C,2,2,-1,-1,-1,1,25
4472,nialamide,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,C1=CC=C(C=C1)CNC(=O)CCNNC(=O)C2=CC=NC=C2,2,2,-1,-1,-1,-1,26
3033952,niperotidine,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CN(C)CC1=CC=C(O1)CSCCN/C(=C\[N+](=O)[O-])/NCC2=CC3=C(C=C2)OCO3,2,2,-1,-1,-1,-1,27
71900,nitrefazole,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CC1=NC(=CN1C2=CC=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],2,2,-1,-1,-1,-1,28
4528,nomifensine,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,Postive,CN1CC(C2=C(C1)C(=CC=C2)N)C3=CC=CC=C3,2,2,2,-1,1,1,29
8269,oxyphenisatin,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CC(=O)OC1=CC=C(C=C1)C2(C3=CC=CC=C3NC2=O)C4=CC=C(C=C4)OC(=O)C,2,2,-1,-1,-1,-1,30
4723,pemoline,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,Postive,C1=CC=C(C=C1)C2C(=O)N=C(O2)N,2,2,2,-1,1,1,19
4746,perhexiline,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3,2,2,2,1,1,1,31
71467,phenoxypropazine,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CC(COC1=CC=CC=C1)NN,2,2,-1,-1,-1,-1,19
6761,pipamazine,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,C1CN(CCC1C(=O)N)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl,2,2,-1,-1,-1,-1,32
35935,pirprofen,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,.,CC(C1=CC(=C(C=C1)N2CC=CC2)Cl)C(=O)O,2,2,2,1,1,-1,33
216235,sitaxsentan,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CC1=CC2=C(C=C1CC(=O)C3=C(C=CS3)S(=O)(=O)NC4=C(C(=NO4)C)Cl)OCO2,2,2,-1,-1,-1,-1,34
5354,sulcotidil,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CCCCCCCCNC(C)C(C1=CC=C(C=C1)SC(C)C)O,2,2,-1,-1,-1,-1,35
11033,sulfacarbamide,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,C1=CC(=CC=C1N)S(=O)(=O)NC(=O)N,2,2,-1,-1,-1,-1,19
5340,sulfathiazole,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2,2,2,-1,-1,-1,-1,19
38409,ticrynafen,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1=CSC(=C1)C(=O)C2=C(C(=C(C=C2)OCC(=O)O)Cl)Cl,2,2,2,1,1,1,36
65592,tilbroquinol,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CC1=CC(=C(C2=C1C=CC=N2)O)Br,2,2,-1,-1,-1,-1,37
53359,tolrestat,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,Positive,.,CN(CC(=O)O)C(=S)C1=CC=CC2=C1C=CC(=C2C(F)(F)F)OC,2,2,-1,-1,1,-1,38
29321,triacetyldiphenolisatin,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CC(=O)N1C2=CC=CC=C2C(C1=O)(C3=CC=C(C=C3)OC(=O)C)C4=CC=C(C=C4)OC(=O)C,2,2,-1,-1,-1,-1,30
239062,xenazoic acid,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CCOC(C(=O)C1=CC=C(C=C1)C2=CC=CC=C2)NC3=CC=C(C=C3)C(=O)O,2,2,-1,-1,-1,-1,39
9574101,ximelagatran,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,Positive,.,CCOC(=O)CN[C@H](C1CCCCC1)C(=O)N2CC[C@H]2C(=O)NCC3=CC=C(C=C3)/C(=N/O)/N,2,2,-1,-1,1,-1,40
41987,zimelidine,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CN(C)CC=C(C1=CC=C(C=C1)Br)C2=CN=CC=C2,2,2,-1,-1,-1,-1,41
3001322,aplaviroc ,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CCCCN1C(=O)[C@H](NC(=O)C12CCN(CC2)CC3=CC=C(C=C3)OC4=CC=C(C=C4)C(=O)O)[C@@H](C5CCCCC5)O,2,2,-1,-1,-1,-1,42
32756,dermatan,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O)CO)OS(=O)(=O)[O-])O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)C(=O)[O-])O)O)O,2,2,-1,-1,-1,-1,43
6918508,falnidamol ,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CN1CCC(CC1)NC2=NC=C3C(=N2)C(=NC=N3)NC4=CC(=C(C=C4)F)Cl,2,2,-1,-1,-1,-1,44
50313,fialuridine,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,.,C1=C(C(=O)NC(=O)N1[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)F)I,2,2,2,-1,1,-1,45
172307,fiduxosin ,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,COC1=CC=CC2=C1[C@@H]3CN(C[C@@H]3CO2)CCCCN4C(=O)C5=C(C6=NC(=CN=C6S5)C7=CC=CC=C7)NC4=O,2,2,-1,-1,-1,-1,46
5480200,pafuramidine ,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CO/N=C(\N)/C1=CC=C(C=C1)C2=CC=C(O2)C3=CC=C(C=C3)/C(=N/OC)/N,2,2,-1,-1,-1,-1,47
153270,pralnacasan ,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CCO[C@H]1[C@H](CC(=O)O1)NC(=O)[C@@H]2CCCN3N2C(=O)[C@H](CCC3=O)NC(=O)C4=NC=CC5=CC=CC=C54,2,2,-1,-1,-1,-1,48
60919,tasosartan,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,.,CC1=C2CCC(=O)N(C2=NC(=N1)C)CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,2,2,2,-1,1,-1,49
6437841,acitretin,5,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,Postive,CC1=CC(=C(C(=C1/C=C/C(=C/C=C/C(=C\C(=O)O)/C)/C)C)C)OC,2,2,2,-1,1,1,50
2157,amiodarone,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,2,2,2,1,1,1,51
104865,bosentan,7,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,.,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC,2,2,2,-1,1,-1,52
6253,cytarabine,3,Most-DILI-Concern,vMost-DILI-Concern,.,Hepatotoxic,.,.,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,2,2,-1,1,-1,-1,53
5351166,dacarbazine,6,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,.,CN(C)N/N=C\1/C(=NC=N1)C(=O)N,2,2,2,1,1,-1,54
28417,danazol,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,.,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC5=C(C[C@]34C)C=NO5,2,2,2,1,1,-1,55
2952,dantrolene,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,.,C1C(=O)NC(=O)N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-],2,2,2,1,1,-1,56
5493381,deferasirox,7,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,C1=C/C(=C/2\N/C(=C\3/C=CC=CC3=O)/N(N2)C4=CC=C(C=C4)C(=O)O)/C(=O)C=C1,2,2,-1,-1,-1,-1,57
3331,felbamate,7,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,.,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,2,2,2,1,1,-1,19
3397,flutamide,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,2,2,2,1,1,1,58
3767,isoniazid,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1=CN=CC=C1C(=O)NN,2,2,2,1,1,1,19
47576,ketoconazole,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OC[C@@H]3CO[C@@](O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,2,2,2,1,1,1,59
208908,lapatinib,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,Positive,Postive,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,2,2,-1,-1,1,1,60
3899,leflunomide,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,Postive,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,2,2,2,-1,1,1,61
126941,methotrexate,3,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,.,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,2,2,2,1,1,-1,62
4178,mexiletine,3,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,.,CC1=C(C(=CC=C1)C)OCC(C)N,2,2,2,-1,1,-1,19
4449,nefazodone,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,2,2,2,1,1,1,63
4463,nevirapine,8,Most-DILI-Concern,vMost-DILI-Concern,.,Hepatotoxic,.,Postive,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,2,2,-1,1,-1,1,64
5878,oxandrolone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(COC(=O)C4)C,2,2,-1,-1,-1,-1,65
9902,oxymetholone,7,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(CC(=CO)C(=O)C4)C,2,2,-1,-1,-1,1,65
10113978,pazopanib,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N,2,2,-1,-1,-1,-1,66
40926,pentostatin,3,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Negative,C1[C@H](C2=C(NC=N1)N(C=N2)C3CC(C(O3)CO)O)O,2,2,-1,-1,-1,0,67
657298,propylthiouracil,8,Most-DILI-Concern,vMost-DILI-Concern,.,Hepatotoxic,.,Postive,CCCC1=CC(=O)NC(=S)N1,2,2,-1,1,-1,1,68
18283,stavudine,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CC1=CN(C(=O)NC1=O)[C@H]2C=C[C@H](O2)CO,2,2,2,1,1,1,69
5329102,sunitinib,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,2,2,-1,-1,-1,-1,70
4659569,tolcapone,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,Postive,CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-],2,2,2,-1,1,1,71
3121,valproic acid,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CCCC(CCC)C(=O)O,2,2,2,1,1,1,19
35370,zidovudine,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],2,2,2,1,1,1,69
23663956,divalproex sodium,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],2,2,-1,-1,-1,-1,19
9915926,eltrombopag olamine,4,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CC1=C(C=C(C=C1)N2C(=O)C(=C(N2)C)N/N=C/3\C=CC=C(C3=O)C4=CC(=CC=C4)C(=O)O)C.C(CO)N.C(CO)N,2,2,-1,-1,-1,-1,72
3002977,maraviroc,3,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CC1=NN=C(N1C2C[C@H]3CC[C@@H](C2)N3CC[C@@H](C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C,2,2,-1,-1,-1,-1,73
65027,tipranavir,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CCC[C@]1(CC(=O)C(=C(O1)O)[C@H](CC)C2=CC(=CC=C2)NS(=O)(=O)C3=NC=C(C=C3)C(F)(F)F)CCC4=CC=CC=C4,2,2,-1,-1,-1,-1,74
4649,4-aminosalicylic acid,5,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,.,C1=CC(=C(C=C1N)O)C(=O)O,2,2,2,1,1,-1,19
65140,abacavir,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,Postive,C1CC1NC2=NC(=NC3=C2N=CN3C4C[C@H](C=C4)CO)N,2,2,2,-1,1,1,75
441184,acarbose,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@@H]([C@@H]([C@H]4O)O)O)CO,2,2,-1,-1,-1,-1,76
1983,acetaminophen,5,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CC(=O)NC1=CC=C(C=C1)O,2,2,2,1,1,1,19
1986,acetazolamide,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,.,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,2,2,2,-1,1,-1,19
2082,albendazole,7,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,Postive,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,2,2,2,-1,1,1,77
2094,allopurinol,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1=C2C(=NC=NC2=O)NN1,2,2,2,1,1,1,19
54841,atomoxetine,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,Postive,CC1=CC=CC=C1O[C@H](CCNC)C2=CC=CC=C2,2,2,2,-1,1,1,78
60823,atorvastatin,5,Most-DILI-Concern,vMost-DILI-Concern,.,Hepatotoxic,.,Postive,CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,2,2,-1,1,-1,1,79
2265,azathioprine,5,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,.,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],2,2,2,1,1,-1,80
82146,bexarotene,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C,2,2,-1,-1,-1,-1,81
56069,bicalutamide,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,.,C[C@](CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,2,2,2,-1,1,-1,82
93860,bortezomib,7,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,B([C@@H](CC(C)C)NC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,2,2,-1,-1,-1,1,83
2478,busulfan,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,.,CS(=O)(=O)OCCCCOS(=O)(=O)C,2,2,2,1,1,-1,19
2554,carbamazepine,7,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,2,2,2,1,1,1,19
2733,chlorzoxazone,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,Postive,C1=CC2=C(C=C1Cl)NC(=O)O2,2,2,2,-1,1,1,84
2764,ciprofloxacin,7,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,2,2,2,1,1,1,85
84029,clarithromycin,8,Most-DILI-Concern,vMost-DILI-Concern,HH,non-hepatotixic,Positive,Postive,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,2,2,2,0,1,1,86
2801,clomipramine,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,.,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,2,2,2,-1,1,-1,32
2818,clozapine,5,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,.,CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl,2,2,2,1,1,-1,87
6435893,cyclosporine,7,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,.,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,2,2,2,1,1,-1,88
2019,dactinomycin,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,.,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,2,2,2,1,1,-1,89
