SAMPLE_KEY,Sakatis,Zhu,Xu,Greene,vNCTR,NCTR,Severity Class
25990-O16-6,1,1,1,2,2,2,8
25991-O16-1,1,1,1,2,2,2,8
25991-O16-2,1,1,1,2,2,2,8
25991-O16-3,1,1,1,2,2,2,8
25991-O16-4,1,1,1,2,2,2,8
25991-O16-5,1,1,1,2,2,2,8
25991-O16-6,1,1,1,2,2,2,8
25992-O16-1,1,1,1,2,2,2,8
25992-O16-2,1,1,1,2,2,2,8
25992-O16-3,1,1,1,2,2,2,8
25992-O16-4,1,1,1,2,2,2,8
25992-O16-5,1,1,1,2,2,2,8
25992-O16-6,1,1,1,2,2,2,8
24305-K09-1,1,1,1,2,2,2,8
24305-K09-2,1,1,1,2,2,2,8
24305-K09-3,1,1,1,2,2,2,8
24305-K09-4,1,1,1,2,2,2,8
24305-K09-5,1,1,1,2,2,2,8
24305-K09-6,1,1,1,2,2,2,8
24306-K09-1,1,1,1,2,2,2,8
24306-K09-2,1,1,1,2,2,2,8
24306-K09-3,1,1,1,2,2,2,8
24306-K09-4,1,1,1,2,2,2,8
24306-K09-5,1,1,1,2,2,2,8
24306-K09-6,1,1,1,2,2,2,8
24307-K09-1,1,1,1,2,2,2,8
24307-K09-2,1,1,1,2,2,2,8
24307-K09-3,1,1,1,2,2,2,8
24307-K09-4,1,1,1,2,2,2,8
24307-K09-5,1,1,1,2,2,2,8
24307-K09-6,1,1,1,2,2,2,8
24352-K09-1,1,1,1,2,2,2,8
24352-K09-2,1,1,1,2,2,2,8
24352-K09-3,1,1,1,2,2,2,8
24352-K09-4,1,1,1,2,2,2,8
24352-K09-5,1,1,1,2,2,2,8
24352-K09-6,1,1,1,2,2,2,8
25955-K09-1,1,1,1,2,2,2,8
25955-K09-2,1,1,1,2,2,2,8
25955-K09-3,1,1,1,2,2,2,8
25955-K09-4,1,1,1,2,2,2,8
25955-K09-5,1,1,1,2,2,2,8
25955-K09-6,1,1,1,2,2,2,8
25962-K09-1,1,1,1,2,2,2,8
25962-K09-2,1,1,1,2,2,2,8
25962-K09-3,1,1,1,2,2,2,8
25962-K09-4,1,1,1,2,2,2,8
25962-K09-5,1,1,1,2,2,2,8
25962-K09-6,1,1,1,2,2,2,8
25965-K09-1,1,1,1,2,2,2,8
25965-K09-2,1,1,1,2,2,2,8
25965-K09-3,1,1,1,2,2,2,8
25965-K09-4,1,1,1,2,2,2,8
25965-K09-5,1,1,1,2,2,2,8
25965-K09-6,1,1,1,2,2,2,8
25966-K09-1,1,1,1,2,2,2,8
25966-K09-2,1,1,1,2,2,2,8
25966-K09-3,1,1,1,2,2,2,8
25966-K09-4,1,1,1,2,2,2,8
25966-K09-5,1,1,1,2,2,2,8
25966-K09-6,1,1,1,2,2,2,8
24319-L11-1,-1,-1,1,2,2,2,8
24319-L11-2,-1,-1,1,2,2,2,8
24319-L11-3,-1,-1,1,2,2,2,8
24319-L11-4,-1,-1,1,2,2,2,8
24319-L11-5,-1,-1,1,2,2,2,8
24319-L11-6,-1,-1,1,2,2,2,8
24320-L11-1,-1,-1,1,2,2,2,8
24320-L11-2,-1,-1,1,2,2,2,8
24320-L11-3,-1,-1,1,2,2,2,8
24320-L11-4,-1,-1,1,2,2,2,8
24320-L11-5,-1,-1,1,2,2,2,8
24320-L11-6,-1,-1,1,2,2,2,8
24321-L11-1,-1,-1,1,2,2,2,8
24321-L11-2,-1,-1,1,2,2,2,8
24321-L11-3,-1,-1,1,2,2,2,8
24321-L11-4,-1,-1,1,2,2,2,8
24321-L11-5,-1,-1,1,2,2,2,8
24321-L11-6,-1,-1,1,2,2,2,8
24357-L11-1,-1,-1,1,2,2,2,8
24357-L11-2,-1,-1,1,2,2,2,8
24357-L11-3,-1,-1,1,2,2,2,8
24357-L11-4,-1,-1,1,2,2,2,8
24357-L11-5,-1,-1,1,2,2,2,8
24357-L11-6,-1,-1,1,2,2,2,8
25989-L11-1,-1,-1,1,2,2,2,8
25989-L11-2,-1,-1,1,2,2,2,8
25989-L11-3,-1,-1,1,2,2,2,8
25989-L11-4,-1,-1,1,2,2,2,8
25989-L11-5,-1,-1,1,2,2,2,8
25989-L11-6,-1,-1,1,2,2,2,8
25990-L11-1,-1,-1,1,2,2,2,8
25990-L11-2,-1,-1,1,2,2,2,8
25990-L11-3,-1,-1,1,2,2,2,8
25990-L11-4,-1,-1,1,2,2,2,8
25990-L11-5,-1,-1,1,2,2,2,8
25990-L11-6,-1,-1,1,2,2,2,8
25991-L11-1,-1,-1,1,2,2,2,8
25991-L11-2,-1,-1,1,2,2,2,8
25991-L11-3,-1,-1,1,2,2,2,8
25991-L11-4,-1,-1,1,2,2,2,8
25991-L11-5,-1,-1,1,2,2,2,8
25991-L11-6,-1,-1,1,2,2,2,8
25992-L11-1,-1,-1,1,2,2,2,8
25992-L11-2,-1,-1,1,2,2,2,8
25992-L11-3,-1,-1,1,2,2,2,8
25992-L11-4,-1,-1,1,2,2,2,8
25992-L11-5,-1,-1,1,2,2,2,8
25992-L11-6,-1,-1,1,2,2,2,8
24277-O04-1,-1,-1,1,2,2,2,8
24277-O04-2,-1,-1,1,2,2,2,8
24277-O04-3,-1,-1,1,2,2,2,8
24277-O04-4,-1,-1,1,2,2,2,8
24277-O04-5,-1,-1,1,2,2,2,8
24277-O04-6,-1,-1,1,2,2,2,8
24296-O04-1,-1,-1,1,2,2,2,8
24296-O04-2,-1,-1,1,2,2,2,8
24296-O04-3,-1,-1,1,2,2,2,8
24296-O04-4,-1,-1,1,2,2,2,8
24296-O04-5,-1,-1,1,2,2,2,8
24296-O04-6,-1,-1,1,2,2,2,8
24308-O04-1,-1,-1,1,2,2,2,8
24308-O04-2,-1,-1,1,2,2,2,8
24308-O04-3,-1,-1,1,2,2,2,8
24308-O04-4,-1,-1,1,2,2,2,8
24308-O04-5,-1,-1,1,2,2,2,8
24308-O04-6,-1,-1,1,2,2,2,8
24309-O04-1,-1,-1,1,2,2,2,8
24309-O04-2,-1,-1,1,2,2,2,8
24309-O04-3,-1,-1,1,2,2,2,8
24309-O04-4,-1,-1,1,2,2,2,8
24309-O04-5,-1,-1,1,2,2,2,8
24309-O04-6,-1,-1,1,2,2,2,8
25967-O04-1,-1,-1,1,2,2,2,8
25967-O04-2,-1,-1,1,2,2,2,8
25967-O04-3,-1,-1,1,2,2,2,8
25967-O04-4,-1,-1,1,2,2,2,8
25967-O04-5,-1,-1,1,2,2,2,8
25967-O04-6,-1,-1,1,2,2,2,8
25968-O04-1,-1,-1,1,2,2,2,8
25968-O04-2,-1,-1,1,2,2,2,8
25968-O04-3,-1,-1,1,2,2,2,8
25968-O04-4,-1,-1,1,2,2,2,8
25968-O04-5,-1,-1,1,2,2,2,8
25968-O04-6,-1,-1,1,2,2,2,8
25983-O04-1,-1,-1,1,2,2,2,8
25983-O04-2,-1,-1,1,2,2,2,8
25983-O04-3,-1,-1,1,2,2,2,8
25983-O04-4,-1,-1,1,2,2,2,8
25983-O04-5,-1,-1,1,2,2,2,8
25983-O04-6,-1,-1,1,2,2,2,8
25984-O04-1,-1,-1,1,2,2,2,8
25984-O04-2,-1,-1,1,2,2,2,8
25984-O04-3,-1,-1,1,2,2,2,8
25984-O04-4,-1,-1,1,2,2,2,8
25984-O04-5,-1,-1,1,2,2,2,8
25984-O04-6,-1,-1,1,2,2,2,8
24294-N12-1,1,-1,1,2,2,2,8
24294-N12-2,1,-1,1,2,2,2,8
24294-N12-3,1,-1,1,2,2,2,8
24294-N12-4,1,-1,1,2,2,2,8
24294-N12-5,1,-1,1,2,2,2,8
24294-N12-6,1,-1,1,2,2,2,8
24295-N12-1,1,-1,1,2,2,2,8
24295-N12-2,1,-1,1,2,2,2,8
24295-N12-3,1,-1,1,2,2,2,8
24295-N12-4,1,-1,1,2,2,2,8
24295-N12-5,1,-1,1,2,2,2,8
24295-N12-6,1,-1,1,2,2,2,8
24297-N12-1,1,-1,1,2,2,2,8
24297-N12-2,1,-1,1,2,2,2,8
24297-N12-3,1,-1,1,2,2,2,8
24297-N12-4,1,-1,1,2,2,2,8
24297-N12-5,1,-1,1,2,2,2,8
24297-N12-6,1,-1,1,2,2,2,8
24300-N12-1,1,-1,1,2,2,2,8
24300-N12-2,1,-1,1,2,2,2,8
24300-N12-3,1,-1,1,2,2,2,8
24300-N12-4,1,-1,1,2,2,2,8
24300-N12-5,1,-1,1,2,2,2,8
24300-N12-6,1,-1,1,2,2,2,8
25937-N12-1,1,-1,1,2,2,2,8
25937-N12-2,1,-1,1,2,2,2,8
25937-N12-3,1,-1,1,2,2,2,8
25937-N12-4,1,-1,1,2,2,2,8
25937-N12-5,1,-1,1,2,2,2,8
25937-N12-6,1,-1,1,2,2,2,8
25938-N12-1,1,-1,1,2,2,2,8
25938-N12-2,1,-1,1,2,2,2,8
25938-N12-3,1,-1,1,2,2,2,8
25938-N12-4,1,-1,1,2,2,2,8
25938-N12-5,1,-1,1,2,2,2,8
25938-N12-6,1,-1,1,2,2,2,8
25939-N12-1,1,-1,1,2,2,2,8
25939-N12-2,1,-1,1,2,2,2,8
25939-N12-3,1,-1,1,2,2,2,8
25939-N12-4,1,-1,1,2,2,2,8
25939-N12-5,1,-1,1,2,2,2,8
25939-N12-6,1,-1,1,2,2,2,8
25943-N12-1,1,-1,1,2,2,2,8
25943-N12-2,1,-1,1,2,2,2,8
25943-N12-3,1,-1,1,2,2,2,8
25943-N12-4,1,-1,1,2,2,2,8
25943-N12-5,1,-1,1,2,2,2,8
25943-N12-6,1,-1,1,2,2,2,8
24278-H05-1,1,1,1,2,2,2,8
24278-H05-2,1,1,1,2,2,2,8
24278-H05-3,1,1,1,2,2,2,8
24278-H05-4,1,1,1,2,2,2,8
24278-H05-5,1,1,1,2,2,2,8
24278-H05-6,1,1,1,2,2,2,8
24279-H05-1,1,1,1,2,2,2,8
24279-H05-2,1,1,1,2,2,2,8
24279-H05-3,1,1,1,2,2,2,8
24279-H05-4,1,1,1,2,2,2,8
24279-H05-5,1,1,1,2,2,2,8
24279-H05-6,1,1,1,2,2,2,8
24280-H05-1,1,1,1,2,2,2,8
24280-H05-2,1,1,1,2,2,2,8
24280-H05-3,1,1,1,2,2,2,8
24280-H05-4,1,1,1,2,2,2,8
24280-H05-5,1,1,1,2,2,2,8
24280-H05-6,1,1,1,2,2,2,8
24293-H05-1,1,1,1,2,2,2,8
24293-H05-2,1,1,1,2,2,2,8
24293-H05-3,1,1,1,2,2,2,8
24293-H05-4,1,1,1,2,2,2,8
24293-H05-5,1,1,1,2,2,2,8
24293-H05-6,1,1,1,2,2,2,8
26224-H05-1,1,1,1,2,2,2,8
26224-H05-2,1,1,1,2,2,2,8
26224-H05-3,1,1,1,2,2,2,8
26224-H05-4,1,1,1,2,2,2,8
26224-H05-5,1,1,1,2,2,2,8
26224-H05-6,1,1,1,2,2,2,8
26232-H05-1,1,1,1,2,2,2,8
26232-H05-2,1,1,1,2,2,2,8
26232-H05-3,1,1,1,2,2,2,8
26232-H05-4,1,1,1,2,2,2,8
26232-H05-5,1,1,1,2,2,2,8
26232-H05-6,1,1,1,2,2,2,8
26239-H05-1,1,1,1,2,2,2,8
26239-H05-2,1,1,1,2,2,2,8
26239-H05-3,1,1,1,2,2,2,8
26239-H05-4,1,1,1,2,2,2,8
26239-H05-5,1,1,1,2,2,2,8
26239-H05-6,1,1,1,2,2,2,8
26247-H05-1,1,1,1,2,2,2,8
26247-H05-2,1,1,1,2,2,2,8
26247-H05-3,1,1,1,2,2,2,8
26247-H05-4,1,1,1,2,2,2,8
26247-H05-5,1,1,1,2,2,2,8
26247-H05-6,1,1,1,2,2,2,8
24278-C03-1,-1,1,-1,-1,2,2,8
24278-C03-2,-1,1,-1,-1,2,2,8
24278-C03-3,-1,1,-1,-1,2,2,8
24278-C03-4,-1,1,-1,-1,2,2,8
24278-C03-5,-1,1,-1,-1,2,2,8
24278-C03-6,-1,1,-1,-1,2,2,8
24279-C03-1,-1,1,-1,-1,2,2,8
24279-C03-2,-1,1,-1,-1,2,2,8
24279-C03-3,-1,1,-1,-1,2,2,8
24279-C03-4,-1,1,-1,-1,2,2,8
24279-C03-5,-1,1,-1,-1,2,2,8
24279-C03-6,-1,1,-1,-1,2,2,8
24280-C03-1,-1,1,-1,-1,2,2,8
24280-C03-2,-1,1,-1,-1,2,2,8
24280-C03-3,-1,1,-1,-1,2,2,8
24280-C03-4,-1,1,-1,-1,2,2,8
24280-C03-5,-1,1,-1,-1,2,2,8
24280-C03-6,-1,1,-1,-1,2,2,8
24293-C03-1,-1,1,-1,-1,2,2,8
24293-C03-2,-1,1,-1,-1,2,2,8
24293-C03-3,-1,1,-1,-1,2,2,8
24293-C03-4,-1,1,-1,-1,2,2,8
24293-C03-5,-1,1,-1,-1,2,2,8
24293-C03-6,-1,1,-1,-1,2,2,8
26224-C03-1,-1,1,-1,-1,2,2,8
26224-C03-2,-1,1,-1,-1,2,2,8
26224-C03-3,-1,1,-1,-1,2,2,8
26224-C03-4,-1,1,-1,-1,2,2,8
26224-C03-5,-1,1,-1,-1,2,2,8
26224-C03-6,-1,1,-1,-1,2,2,8
26232-C03-1,-1,1,-1,-1,2,2,8
26232-C03-2,-1,1,-1,-1,2,2,8
26232-C03-3,-1,1,-1,-1,2,2,8
26232-C03-4,-1,1,-1,-1,2,2,8
26232-C03-5,-1,1,-1,-1,2,2,8
26232-C03-6,-1,1,-1,-1,2,2,8
26239-C03-1,-1,1,-1,-1,2,2,8
26239-C03-2,-1,1,-1,-1,2,2,8
26239-C03-3,-1,1,-1,-1,2,2,8
26239-C03-4,-1,1,-1,-1,2,2,8
26239-C03-5,-1,1,-1,-1,2,2,8
26239-C03-6,-1,1,-1,-1,2,2,8
26247-C03-1,-1,1,-1,-1,2,2,8
26247-C03-2,-1,1,-1,-1,2,2,8
26247-C03-3,-1,1,-1,-1,2,2,8
26247-C03-4,-1,1,-1,-1,2,2,8
26247-C03-5,-1,1,-1,-1,2,2,8
26247-C03-6,-1,1,-1,-1,2,2,8
24305-K17-1,-1,-1,-1,-1,2,2,8
24305-K17-2,-1,-1,-1,-1,2,2,8
24305-K17-3,-1,-1,-1,-1,2,2,8
24305-K17-4,-1,-1,-1,-1,2,2,8
24305-K17-5,-1,-1,-1,-1,2,2,8
24305-K17-6,-1,-1,-1,-1,2,2,8
24306-K17-1,-1,-1,-1,-1,2,2,8
24306-K17-2,-1,-1,-1,-1,2,2,8
24306-K17-3,-1,-1,-1,-1,2,2,8
24306-K17-4,-1,-1,-1,-1,2,2,8
24306-K17-5,-1,-1,-1,-1,2,2,8
24306-K17-6,-1,-1,-1,-1,2,2,8
24307-K17-1,-1,-1,-1,-1,2,2,8
24307-K17-2,-1,-1,-1,-1,2,2,8
24307-K17-3,-1,-1,-1,-1,2,2,8
24307-K17-4,-1,-1,-1,-1,2,2,8
24307-K17-5,-1,-1,-1,-1,2,2,8
24307-K17-6,-1,-1,-1,-1,2,2,8
24352-K17-1,-1,-1,-1,-1,2,2,8
24352-K17-2,-1,-1,-1,-1,2,2,8
24352-K17-3,-1,-1,-1,-1,2,2,8
24352-K17-4,-1,-1,-1,-1,2,2,8
24352-K17-5,-1,-1,-1,-1,2,2,8
24352-K17-6,-1,-1,-1,-1,2,2,8
25955-K17-1,-1,-1,-1,-1,2,2,8
25955-K17-2,-1,-1,-1,-1,2,2,8
25955-K17-3,-1,-1,-1,-1,2,2,8
25955-K17-4,-1,-1,-1,-1,2,2,8
25955-K17-5,-1,-1,-1,-1,2,2,8
25955-K17-6,-1,-1,-1,-1,2,2,8
25962-K17-1,-1,-1,-1,-1,2,2,8
25962-K17-2,-1,-1,-1,-1,2,2,8
25962-K17-3,-1,-1,-1,-1,2,2,8
25962-K17-4,-1,-1,-1,-1,2,2,8
25962-K17-5,-1,-1,-1,-1,2,2,8
25962-K17-6,-1,-1,-1,-1,2,2,8
25965-K17-1,-1,-1,-1,-1,2,2,8
25965-K17-2,-1,-1,-1,-1,2,2,8
25965-K17-3,-1,-1,-1,-1,2,2,8
25965-K17-4,-1,-1,-1,-1,2,2,8
25965-K17-5,-1,-1,-1,-1,2,2,8
25965-K17-6,-1,-1,-1,-1,2,2,8
25966-K17-1,-1,-1,-1,-1,2,2,8
25966-K17-2,-1,-1,-1,-1,2,2,8
25966-K17-3,-1,-1,-1,-1,2,2,8
25966-K17-4,-1,-1,-1,-1,2,2,8
25966-K17-5,-1,-1,-1,-1,2,2,8
25966-K17-6,-1,-1,-1,-1,2,2,8
24294-K04-1,-1,1,1,2,2,2,8
24294-K04-2,-1,1,1,2,2,2,8
24294-K04-3,-1,1,1,2,2,2,8
24294-K04-4,-1,1,1,2,2,2,8
24294-K04-5,-1,1,1,2,2,2,8
24294-K04-6,-1,1,1,2,2,2,8
24295-K04-1,-1,1,1,2,2,2,8
24295-K04-2,-1,1,1,2,2,2,8
24295-K04-3,-1,1,1,2,2,2,8
24295-K04-4,-1,1,1,2,2,2,8
24295-K04-5,-1,1,1,2,2,2,8
24295-K04-6,-1,1,1,2,2,2,8
24297-K04-1,-1,1,1,2,2,2,8
24297-K04-2,-1,1,1,2,2,2,8
24297-K04-3,-1,1,1,2,2,2,8
24297-K04-4,-1,1,1,2,2,2,8
24297-K04-5,-1,1,1,2,2,2,8
24297-K04-6,-1,1,1,2,2,2,8
24300-K04-1,-1,1,1,2,2,2,8
24300-K04-2,-1,1,1,2,2,2,8
24300-K04-3,-1,1,1,2,2,2,8
24300-K04-4,-1,1,1,2,2,2,8
24300-K04-5,-1,1,1,2,2,2,8
24300-K04-6,-1,1,1,2,2,2,8
25937-K04-1,-1,1,1,2,2,2,8
25937-K04-2,-1,1,1,2,2,2,8
25937-K04-3,-1,1,1,2,2,2,8
25937-K04-4,-1,1,1,2,2,2,8
25937-K04-5,-1,1,1,2,2,2,8
25937-K04-6,-1,1,1,2,2,2,8
25938-K04-1,-1,1,1,2,2,2,8
25938-K04-2,-1,1,1,2,2,2,8
25938-K04-3,-1,1,1,2,2,2,8
25938-K04-4,-1,1,1,2,2,2,8
25938-K04-5,-1,1,1,2,2,2,8
25938-K04-6,-1,1,1,2,2,2,8
25939-K04-1,-1,1,1,2,2,2,8
25939-K04-2,-1,1,1,2,2,2,8
25939-K04-3,-1,1,1,2,2,2,8
25939-K04-4,-1,1,1,2,2,2,8
25939-K04-5,-1,1,1,2,2,2,8
25939-K04-6,-1,1,1,2,2,2,8
25943-K04-1,-1,1,1,2,2,2,8
25943-K04-2,-1,1,1,2,2,2,8
25943-K04-3,-1,1,1,2,2,2,8
25943-K04-4,-1,1,1,2,2,2,8
25943-K04-5,-1,1,1,2,2,2,8
25943-K04-6,-1,1,1,2,2,2,8
24305-M23-1,-1,-1,-1,-1,2,2,8
24305-M23-2,-1,-1,-1,-1,2,2,8
24305-M23-3,-1,-1,-1,-1,2,2,8
24305-M23-4,-1,-1,-1,-1,2,2,8
24305-M23-5,-1,-1,-1,-1,2,2,8
24305-M23-6,-1,-1,-1,-1,2,2,8
24306-M23-1,-1,-1,-1,-1,2,2,8
24306-M23-2,-1,-1,-1,-1,2,2,8
24306-M23-3,-1,-1,-1,-1,2,2,8
24306-M23-4,-1,-1,-1,-1,2,2,8
24306-M23-5,-1,-1,-1,-1,2,2,8
24306-M23-6,-1,-1,-1,-1,2,2,8
24307-M23-1,-1,-1,-1,-1,2,2,8
24307-M23-2,-1,-1,-1,-1,2,2,8
24307-M23-3,-1,-1,-1,-1,2,2,8
24307-M23-4,-1,-1,-1,-1,2,2,8
24307-M23-5,-1,-1,-1,-1,2,2,8
24307-M23-6,-1,-1,-1,-1,2,2,8
24352-M23-1,-1,-1,-1,-1,2,2,8
24352-M23-2,-1,-1,-1,-1,2,2,8
24352-M23-3,-1,-1,-1,-1,2,2,8
24352-M23-4,-1,-1,-1,-1,2,2,8
24352-M23-5,-1,-1,-1,-1,2,2,8
24352-M23-6,-1,-1,-1,-1,2,2,8
25955-M23-1,-1,-1,-1,-1,2,2,8
25955-M23-2,-1,-1,-1,-1,2,2,8
25955-M23-3,-1,-1,-1,-1,2,2,8
25955-M23-4,-1,-1,-1,-1,2,2,8
25955-M23-5,-1,-1,-1,-1,2,2,8
25955-M23-6,-1,-1,-1,-1,2,2,8
25962-M23-1,-1,-1,-1,-1,2,2,8
25962-M23-2,-1,-1,-1,-1,2,2,8
25962-M23-3,-1,-1,-1,-1,2,2,8
25962-M23-4,-1,-1,-1,-1,2,2,8
25962-M23-5,-1,-1,-1,-1,2,2,8
25962-M23-6,-1,-1,-1,-1,2,2,8
25965-M23-1,-1,-1,-1,-1,2,2,8
25965-M23-2,-1,-1,-1,-1,2,2,8
25965-M23-3,-1,-1,-1,-1,2,2,8
25965-M23-4,-1,-1,-1,-1,2,2,8
25965-M23-5,-1,-1,-1,-1,2,2,8
25965-M23-6,-1,-1,-1,-1,2,2,8
25966-M23-1,-1,-1,-1,-1,2,2,8
25966-M23-2,-1,-1,-1,-1,2,2,8
25966-M23-3,-1,-1,-1,-1,2,2,8
25966-M23-4,-1,-1,-1,-1,2,2,8
25966-M23-5,-1,-1,-1,-1,2,2,8
25966-M23-6,-1,-1,-1,-1,2,2,8
24319-J16-1,-1,-1,-1,-1,2,2,8
24319-J16-2,-1,-1,-1,-1,2,2,8
24319-J16-3,-1,-1,-1,-1,2,2,8
24319-J16-4,-1,-1,-1,-1,2,2,8
24319-J16-5,-1,-1,-1,-1,2,2,8
24319-J16-6,-1,-1,-1,-1,2,2,8
24320-J16-1,-1,-1,-1,-1,2,2,8
24320-J16-2,-1,-1,-1,-1,2,2,8
24320-J16-3,-1,-1,-1,-1,2,2,8
24320-J16-4,-1,-1,-1,-1,2,2,8
24320-J16-5,-1,-1,-1,-1,2,2,8
24320-J16-6,-1,-1,-1,-1,2,2,8
24321-J16-1,-1,-1,-1,-1,2,2,8
24321-J16-2,-1,-1,-1,-1,2,2,8
24321-J16-3,-1,-1,-1,-1,2,2,8
24321-J16-4,-1,-1,-1,-1,2,2,8
24321-J16-5,-1,-1,-1,-1,2,2,8
24321-J16-6,-1,-1,-1,-1,2,2,8
24357-J16-1,-1,-1,-1,-1,2,2,8
24357-J16-2,-1,-1,-1,-1,2,2,8
24357-J16-3,-1,-1,-1,-1,2,2,8
24357-J16-4,-1,-1,-1,-1,2,2,8
24357-J16-5,-1,-1,-1,-1,2,2,8
24357-J16-6,-1,-1,-1,-1,2,2,8
25989-J16-1,-1,-1,-1,-1,2,2,8
25989-J16-2,-1,-1,-1,-1,2,2,8
25989-J16-3,-1,-1,-1,-1,2,2,8
25989-J16-4,-1,-1,-1,-1,2,2,8
25989-J16-5,-1,-1,-1,-1,2,2,8
25989-J16-6,-1,-1,-1,-1,2,2,8
25990-J16-1,-1,-1,-1,-1,2,2,8
25990-J16-2,-1,-1,-1,-1,2,2,8
25990-J16-3,-1,-1,-1,-1,2,2,8
25990-J16-4,-1,-1,-1,-1,2,2,8
25990-J16-5,-1,-1,-1,-1,2,2,8
25990-J16-6,-1,-1,-1,-1,2,2,8
25991-J16-1,-1,-1,-1,-1,2,2,8
25991-J16-2,-1,-1,-1,-1,2,2,8
25991-J16-3,-1,-1,-1,-1,2,2,8
25991-J16-4,-1,-1,-1,-1,2,2,8
25991-J16-5,-1,-1,-1,-1,2,2,8
25991-J16-6,-1,-1,-1,-1,2,2,8
25992-J16-1,-1,-1,-1,-1,2,2,8
25992-J16-2,-1,-1,-1,-1,2,2,8
25992-J16-3,-1,-1,-1,-1,2,2,8
25992-J16-4,-1,-1,-1,-1,2,2,8
25992-J16-5,-1,-1,-1,-1,2,2,8
25992-J16-6,-1,-1,-1,-1,2,2,8
25689-P04-1,1,1,1,2,2,2,8
25689-P04-2,1,1,1,2,2,2,8
25689-P04-3,1,1,1,2,2,2,8
